,GEOID10,excelCountyName,excelVTDId
1305,3719910-PEN,Yancey,10-PEN
1306,3719911-PRI,Yancey,11-PRI
1307,3719901-BUR,Yancey,01-BUR
1308,3719908-CRA,Yancey,08-CRA
1309,3719902-CAN,Yancey,02-CAN
1310,3719906-JAC,Yancey,06-JAC
1311,3719907-BRU,Yancey,07-BRU
1312,3719903-EGY,Yancey,03-EGY
1313,3719905-GRE,Yancey,05-GRE
1314,3700112E,Alamance,12E
1315,3700112W,Alamance,12W
1316,3700106N,Alamance,06N
1317,37001126,Alamance,126
1318,37001063,Alamance,063
1319,3700106W,Alamance,06W
1320,37001124,Alamance,124
1321,370011210,Alamance,1210
1322,3700103N,Alamance,03N
1323,3700102,Alamance,02
1324,3700106E,Alamance,06E
1325,3700106S,Alamance,06S
1326,3700112N,Alamance,12N
1327,3700101,Alamance,01
1328,37001125,Alamance,125
1329,37001129,Alamance,129
1330,3700103S,Alamance,03S
1331,3700108S,Alamance,08S
1332,3700108N,Alamance,08N
1333,37001064,Alamance,064
1334,37001128,Alamance,128
1335,3700103W,Alamance,03W
1336,37001103,Alamance,103
1337,3700107,Alamance,07
1338,3700112S,Alamance,12S
1339,3700104,Alamance,04
1340,3700105,Alamance,05
1341,3700113,Alamance,13
1342,37001035,Alamance,035
1343,3700103C,Alamance,03C
1344,3700109N,Alamance,09N
1345,37001127,Alamance,127
1346,37111N.COVE,McDowell,N.COVE
1347,37111DYSART,McDowell,DYSART
1348,37111GLENWD,McDowell,GLENWD
1349,37111M.COVE,McDowell,M.COVE
1350,37111MAR-5,McDowell,MAR-5
1351,37111PLEASA,McDowell,PLEASA
1352,37111FORT-1,McDowell,FORT-1
1353,37111MAR-1,McDowell,MAR-1
1354,37111MAR-4,McDowell,MAR-4
1355,37111HIGGIN,McDowell,HIGGIN
1356,37111MAR-3,McDowell,MAR-3
1357,37111WEST-M,McDowell,WEST-M
1358,37111CCREEK,McDowell,CCREEK
1359,37111FORT-2,McDowell,FORT-2
1360,37111MAR-2,McDowell,MAR-2
1361,37111NEBO,McDowell,NEBO
1362,37111T.COVE,McDowell,T.COVE
1363,37037PIT113,Chatham,PIT113
1364,3703715,Chatham,15
1365,370376,Chatham,6
1366,37037NWM117,Chatham,NWM117
1367,3703778,Chatham,78
1368,370379,Chatham,9
1369,3703718,Chatham,18
1370,3703745,Chatham,45
1371,3703742,Chatham,42
1372,37037MCH110,Chatham,MCH110
1373,370373,Chatham,3
1374,3703785,Chatham,85
1375,3703724,Chatham,24
1376,3703721,Chatham,21
1377,37037ESC114,Chatham,ESC114
1378,3703730,Chatham,30
1379,3703720,Chatham,20
1380,3703775,Chatham,75
1381,37181WATK,Vance,WATK
1382,37181WH2,Vance,WH2
1383,37181SH1,Vance,SH1
1384,37181TWNS,Vance,TWNS
1385,37181MIDD,Vance,MIDD
1386,37181DABN,Vance,DABN
1387,37181SCRK,Vance,SCRK
1388,37181SH2,Vance,SH2
1389,37181EH1,Vance,EH1
1390,37181WMSB,Vance,WMSB
1391,37181NH2,Vance,NH2
1392,37181HTOP,Vance,HTOP
1393,37181NH1,Vance,NH1
1394,37181EH2,Vance,EH2
1395,37181WH1,Vance,WH1
1396,37181KITT,Vance,KITT
1397,370230029,Burke,0029
1398,370230018,Burke,0018
1399,370230001,Burke,0001
1400,370230051,Burke,0051
1401,370230021,Burke,0021
1402,370230040,Burke,0040
1403,370230062,Burke,0062
1404,370230013,Burke,0013
1405,370230019,Burke,0019
1406,370230020,Burke,0020
1407,370230052,Burke,0052
1408,370230066,Burke,0066
1409,370230034,Burke,0034
