,low,high,length
291,37033PROSPROS,37145OLHIOLHI,297.7055289427165
292,37033ANDEANDE,370011111,36707.72415998087
293,37033ANDEANDE,370010505,10515.588159399518
294,37015WHWH,3704133,10717.493294225724
295,37015WHWH,3704122,14162.43823541041
296,37015WDWD,37015RXRX,40288.78419084402
297,37015WDWD,37015IWIW,62979.70287212732
298,37015WDWD,37083PALPAL,53458.84739162758
299,37015WDWD,37117GNGN,47396.17688244079
300,37015WDWD,37117HMHM,84910.63585737717
301,37015RXRX,37083PALPAL,22275.719977741657
302,37015RXRX,37131RICH-SRICH S,44665.872209287874
303,37015RXRX,37091MLML,33224.66845447611
304,37015IWIW,37117HMHM,20111.671822632186
305,370110606,370110808,6202.851251660233
306,370111414,370111313,11276.077509098724
307,370111414,370111515,21420.11508333531
308,370111313,370111616,7726.596944012745
309,370111313,370111515,7031.0720353206525
310,370111313,370111111,9831.234362002304
311,370111616,370111515,5893.250399974011
312,370111616,370111111,10392.922299273065
313,370111616,3702300180018,11715.066640509465
314,370111111,37027PR07PR07,11932.946769788188
315,370936262,370936161,2249.394299451716
316,370936262,370936565,8262.813762409178
317,370936262,370936464,10900.154494677261
318,370930101,370930202,30159.07526717243
319,370930101,370930303,29035.23272385206
320,370930101,371552727,9914.187530359528
321,370930101,371553434,42871.131431738555
322,370930101,3716577,24903.41198131494
323,370930202,370931313,31398.66739875727
324,370930202,370930303,10575.121183468942
325,370930202,370936161,4503.764702991398
326,370930202,370936464,11582.51208399613
327,370930202,371551010,0.0
328,370930202,371553333,13314.905797799038
329,370930202,371552727,13961.291043741128
330,370936363,370930606,39652.9300989224
331,370936363,370930505,19097.57118858007
332,370936363,370931313,1624.8748843228002
333,370936363,370936161,9009.562611188609
334,370936363,370936565,9902.618335813491
335,370936363,370936464,8330.722773390546
336,370930606,370930505,23485.18055039109
337,370930606,370931313,26438.71441644194
338,370930606,370931212,18611.226664973867
339,370930606,37125LTRLTR,65338.75814055931
340,370930606,37051CL57CL57,6961.198787534202
341,370930606,37051G11G11,25308.01658789291
342,370930606,37051G5G5,5228.286441732484
343,370930505,370930303,15965.781092497722
344,370930505,370936464,29090.982570862503
345,370930505,370930404,22233.340451565953
346,370930505,37125LTRLTR,39349.20653528061
347,370930505,37125EABEAB,4637.830412401398
348,370930505,37125PDNPDN,15247.167651721249
349,370930505,37125NSPNSP,3421.4744455284304
350,370931313,370931212,34665.20517555019
351,370931313,370936161,11608.735475379124
352,370931313,371552121,11419.00243504681
353,370931313,371551010,23890.358970335314
354,370931313,371553333,0.0
355,370931313,37051G9G9,250.1167141659219
356,370931212,37051G9G9,601.4083649645177
357,370931212,37051G10G10,10981.45251028232
358,370931212,37051G5G5,5012.057145884927
359,370930303,370936464,35526.275464570106
360,370930303,370930404,2417.9453970096356
361,370930303,3716577,35644.49106411268
362,370936161,370936565,6661.191334290024
363,370936161,370936464,2326.7854670564066
364,370936565,370936464,6966.007266629694
365,370930404,37125EABEAB,11829.551598844388
366,370930404,37125PBFPBF,10843.416964807053
367,370930404,371531010,0.0
368,370930404,3716588,9531.087937120325
369,370930404,3716577,29303.307501297622
370,371593232,371592727,3996.595121818028
371,371593232,371591111,10929.678981168676
372,371593232,371592121,0.0
373,371593232,371592929,13252.597361929726
374,371593232,371591212,14796.187236038142
375,371593232,370590202,4005.9472518625817
376,371593232,370590404,23388.862657663107
377,371593232,370590707,1302.380918662956
378,371592525,371592323,11020.332559025677
379,371592525,371592626,25109.545329595076
380,371592525,371592222,9224.551100073591
381,371592525,371590101,29846.12478784923
382,371592525,3702506-0006-00,2391.9786309023607
383,371592525,3702507-0007-00,33570.243192746086
