Unnamed: 0_level_0,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity
VTD,Total,Male,Male %,Female,Female %,Undes.,Undes.,Total,18-25,18-25 %,26-40,26-40 %,41-65,41-65 %,66+,66+ %,Total,Hispanic,Hisp %,Non-Hisp,Non H %,Undesign.,Undes. %
W2,1723,727,0.421938479396,963,0.558908879861,33,0.0191526407429,1723,190,0.110272780035,407,0.236215902496,730,0.423679628555,396,0.229831688915,1723,8,0.00464306442252,1423,0.825885084156,292,0.169471851422
W3,2290,973,0.424890829694,1273,0.555895196507,44,0.0192139737991,2290,218,0.0951965065502,503,0.219650655022,987,0.431004366812,582,0.254148471616,2290,4,0.00174672489083,1971,0.860698689956,315,0.137554585153
WS,271,125,0.461254612546,142,0.523985239852,4,0.0147601476015,271,25,0.0922509225092,72,0.265682656827,126,0.464944649446,48,0.177121771218,271,1,0.00369003690037,228,0.841328413284,42,0.154981549815
02,1233,586,0.475263584753,641,0.519870235199,6,0.00486618004866,1233,98,0.0794809407948,250,0.202757502028,575,0.466342254663,310,0.251419302514,1233,6,0.00486618004866,1129,0.915652879157,98,0.0794809407948
03,458,214,0.467248908297,244,0.532751091703,0,0.0,458,32,0.0698689956332,92,0.200873362445,212,0.46288209607,122,0.266375545852,458,0,0.0,436,0.951965065502,22,0.0480349344978
04,432,207,0.479166666667,222,0.513888888889,3,0.00694444444444,432,40,0.0925925925926,86,0.199074074074,196,0.453703703704,110,0.25462962963,432,1,0.00231481481481,395,0.914351851852,36,0.0833333333333
06,486,242,0.497942386831,244,0.502057613169,0,0.0,486,28,0.0576131687243,99,0.203703703704,219,0.450617283951,140,0.288065843621,486,0,0.0,458,0.942386831276,28,0.0576131687243
07,424,202,0.47641509434,222,0.52358490566,0,0.0,424,39,0.0919811320755,70,0.165094339623,208,0.490566037736,107,0.252358490566,424,1,0.00235849056604,401,0.945754716981,22,0.0518867924528
08,224,105,0.46875,118,0.526785714286,1,0.00446428571429,224,15,0.0669642857143,46,0.205357142857,101,0.450892857143,62,0.276785714286,224,1,0.00446428571429,202,0.901785714286,21,0.09375
09,3144,1420,0.45165394402,1721,0.547391857506,3,0.000954198473282,3144,278,0.0884223918575,641,0.203880407125,1336,0.424936386768,889,0.282760814249,3144,19,0.00604325699746,2863,0.910623409669,262,0.0833333333333
10,241,111,0.460580912863,130,0.539419087137,0,0.0,241,13,0.0539419087137,40,0.165975103734,111,0.460580912863,77,0.319502074689,241,3,0.0124481327801,228,0.946058091286,10,0.0414937759336
11,1825,883,0.483835616438,939,0.514520547945,3,0.00164383561644,1825,158,0.0865753424658,409,0.224109589041,839,0.459726027397,419,0.229589041096,1825,7,0.00383561643836,1653,0.905753424658,165,0.0904109589041
12,652,318,0.48773006135,333,0.510736196319,1,0.00153374233129,652,45,0.069018404908,125,0.191717791411,320,0.490797546012,162,0.248466257669,652,0,0.0,604,0.926380368098,48,0.0736196319018
13,1015,494,0.486699507389,518,0.510344827586,3,0.00295566502463,1015,78,0.0768472906404,195,0.192118226601,484,0.47684729064,258,0.254187192118,1015,5,0.00492610837438,915,0.901477832512,95,0.0935960591133
14,1915,900,0.469973890339,1014,0.529503916449,1,0.000522193211488,1915,137,0.0715404699739,358,0.186945169713,933,0.487206266319,487,0.254308093995,1915,8,0.00417754569191,1751,0.914360313316,156,0.0814621409922
15,792,377,0.47601010101,414,0.522727272727,1,0.00126262626263,792,50,0.0631313131313,158,0.199494949495,350,0.441919191919,234,0.295454545455,792,0,0.0,727,0.917929292929,65,0.0820707070707
16,1768,870,0.492081447964,891,0.503959276018,7,0.0039592760181,1768,154,0.0871040723982,439,0.248303167421,852,0.481900452489,323,0.182692307692,1768,4,0.00226244343891,1555,0.879524886878,209,0.118212669683
17,818,377,0.460880195599,440,0.537897310513,1,0.00122249388753,818,86,0.105134474328,156,0.190709046455,363,0.443765281174,213,0.260391198044,818,0,0.0,762,0.931540342298,56,0.0684596577017
18,153,76,0.496732026144,77,0.503267973856,0,0.0,153,10,0.0653594771242,36,0.235294117647,71,0.464052287582,36,0.235294117647,153,0,0.0,145,0.947712418301,8,0.0522875816993
20,3152,1434,0.454949238579,1709,0.542195431472,9,0.00285532994924,3152,254,0.0805837563452,661,0.209708121827,1365,0.433058375635,872,0.276649746193,3152,36,0.011421319797,2833,0.898794416244,283,0.0897842639594
01,911,413,0.453347969265,493,0.541163556531,5,0.00548847420417,911,95,0.104281009879,215,0.236004390779,407,0.44676180022,194,0.212952799122,911,6,0.00658616904501,848,0.930845225027,57,0.0625686059276
02,2376,1164,0.489898989899,1194,0.502525252525,18,0.00757575757576,2376,286,0.12037037037,597,0.251262626263,977,0.411195286195,516,0.217171717172,2376,17,0.00715488215488,2015,0.848063973064,344,0.144781144781
03,474,241,0.508438818565,230,0.485232067511,3,0.00632911392405,474,37,0.07805907173,123,0.259493670886,196,0.413502109705,118,0.248945147679,474,2,0.0042194092827,437,0.92194092827,35,0.0738396624473
04,79,38,0.481012658228,39,0.493670886076,2,0.0253164556962,79,6,0.0759493670886,18,0.227848101266,37,0.46835443038,18,0.227848101266,79,0,0.0,69,0.873417721519,10,0.126582278481
05,333,139,0.417417417417,192,0.576576576577,2,0.00600600600601,333,25,0.0750750750751,89,0.267267267267,131,0.393393393393,88,0.264264264264,333,1,0.003003003003,309,0.927927927928,23,0.0690690690691
06,709,337,0.475317348378,367,0.517630465444,5,0.00705218617772,709,64,0.0902679830748,161,0.227080394922,322,0.454160789845,162,0.228490832158,709,4,0.00564174894217,664,0.936530324401,41,0.0578279266573
