,STATEFP10,COUNTYFP10,VTDST10,GEOID10,VTDI10,NAME10,NAMELSAD10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,VTD
629,37,147,0401,371470401,P,0401,Voting District 0401,V1,G5240,S,107802073.0,0.0,35.77757570000001,-77.3706958,3714704010401
630,37,147,0901,371470901,P,0901,Voting District 0901,V1,G5240,S,69023364.0,67043.0,35.6656215,-77.61409090000001,3714709010901
631,37,147,0800B,371470800B,P,0800B,Voting District 0800B,V1,G5240,S,44570284.0,77376.0,35.570440600000005,-77.560792,371470800B0800B
632,37,147,1201,371471201,P,1201,Voting District 1201,V1,G5240,S,175271809.0,2291099.0,35.633712700000004,-77.227538,3714712011201
633,37,147,1512B,371471512B,P,1512B,Voting District 1512B,V1,G5240,S,3838473.0,0.0,35.5613775,-77.39647629999999,371471512B1512B
634,37,147,1102B,371471102B,P,1102B,Voting District 1102B,V1,G5240,S,44243110.0,393216.0,35.571974499999996,-77.2582193,371471102B1102B
635,37,147,1512A,371471512A,P,1512A,Voting District 1512A,V1,G5240,S,12249442.0,2965.0,35.5680425,-77.4297099,371471512A1512A
636,37,147,1508B,371471508B,P,1508B,Voting District 1508B,V1,G5240,S,2110918.0,111677.0,35.6109131,-77.34255259999999,371471508B1508B
637,37,147,1507,371471507,P,1507,Voting District 1507,V1,G5240,S,3262914.0,5006.0,35.599826799999995,-77.34912220000001,3714715071507
638,37,147,1402B,371471402B,P,1402B,Voting District 1402B,V1,G5240,S,11630763.0,2776.0,35.547227,-77.339922,371471402B1402B
639,37,175,SW,37175SW,P,SW,Voting District SW,V1,G5240,S,105065954.0,407697.0,35.083047799999996,-82.97740490000001,37175SWSW
640,37,175,BD,37175BD,P,BD,Voting District BD,V1,G5240,S,124336203.0,89524.0,35.3584691,-82.7078128,37175BDBD
641,37,175,GL,37175GL,P,GL,Voting District GL,V1,G5240,S,70512908.0,39056.0,35.1801519,-82.8707213,37175GLGL
642,37,175,PF,37175PF,P,PF,Voting District PF,V1,G5240,S,122678773.0,268134.0,35.30027379999999,-82.7888948,37175PFPF
643,37,175,RE,37175RE,P,RE,Voting District RE,V1,G5240,S,80610239.0,224803.0,35.105498600000004,-82.8379485,37175RERE
644,37,175,CC,37175CC,P,CC,Voting District CC,V1,G5240,S,75941771.0,14410.0,35.2100946,-82.8166964,37175CCCC
645,37,175,B3,37175B3,P,B3,Voting District B3,V1,G5240,S,16483657.0,84.0,35.2612549,-82.7497161,37175B3B3
646,37,175,B2,37175B2,P,B2,Voting District B2,V1,G5240,S,11414648.0,9405.0,35.2341711,-82.7581032,37175B2B2
647,37,175,LR,37175LR,P,LR,Voting District LR,V1,G5240,S,44013548.0,180320.0,35.216664,-82.6305943,37175LRLR
648,37,175,B4,37175B4,P,B4,Voting District B4,V1,G5240,S,6271707.0,0.0,35.232820700000005,-82.7161159,37175B4B4
649,37,175,WC,37175WC,P,WC,Voting District WC,V1,G5240,S,18637098.0,0.0,35.221636700000005,-82.6868644,37175WCWC
650,37,175,B1,37175B1,P,B1,Voting District B1,V1,G5240,S,6511414.0,2053.0,35.2167665,-82.73404040000001,37175B1B1
651,37,175,DR,37175DR,P,DR,Voting District DR,V1,G5240,S,47594012.0,592546.0,35.165223,-82.715166,37175DRDR
652,37,175,CM,37175CM,P,CM,Voting District CM,V1,G5240,S,61489978.0,878724.0,35.1611425,-82.63354659999999,37175CMCM
653,37,175,BG,37175BG,P,BG,Voting District BG,V1,G5240,S,76904954.0,0.0,35.2471311,-82.8891776,37175BGBG
654,37,175,LT,37175LT,P,LT,Voting District LT,V1,G5240,S,32411745.0,2142364.0,35.131492,-82.9434928,37175LTLT
655,37,175,QB,37175QB,P,QB,Voting District QB,V1,G5240,S,18597785.0,3010.0,35.1446281,-82.8975375,37175QBQB
656,37,175,EF,37175EF,P,EF,Voting District EF,V1,G5240,S,60915622.0,280043.0,35.1087778,-82.7533775,37175EFEF
657,37,129,H03,37129H03,P,H03,Voting District H03,V1,G5240,S,12302298.0,1322359.0,34.2060459,-77.83987320000001,37129H03H03
658,37,129,W16,37129W16,P,W16,Voting District W16,V1,G5240,S,5630424.0,112115.0,34.1891573,-77.8998509,37129W16W16
659,37,141,SH12,37141SH12,P,SH12,Voting District SH12,V1,G5240,S,21567978.0,477722.0,34.3238925,-77.741591,37141SH12SH12
660,37,141,LT18,37141LT18,P,LT18,Voting District LT18,V1,G5240,S,108150134.0,51422957.0,34.389385,-77.7663619,37141LT18LT18
661,37,109,OG10,37109OG10,P,OG10,Voting District OG10,V1,G5240,S,28479125.0,153946.0,35.5323168,-81.2661078,37109OG10OG10
662,37,109,HG17,37109HG17,P,HG17,Voting District HG17,V1,G5240,S,26031968.0,79115.0,35.5365165,-81.23217070000001,37109HG17HG17
663,37,109,PC22,37109PC22,P,PC22,Voting District PC22,V1,G5240,S,33864351.0,95089.0,35.5340633,-81.1081353,37109PC22PC22
664,37,109,DW28,37109DW28,P,DW28,Voting District DW28,V1,G5240,S,53267129.0,78558.0,35.4946244,-81.0465713,37109DW28DW28
665,37,109,DN29,37109DN29,P,DN29,Voting District DN29,V1,G5240,S,15691684.0,5358013.0,35.538556899999996,-80.9979286,37109DN29DN29
666,37,109,OB21,37109OB21,P,OB21,Voting District OB21,V1,G5240,S,30317091.0,60297.0,35.4975259,-81.1287609,37109OB21OB21
667,37,109,IS23,37109IS23,P,IS23,Voting District IS23,V1,G5240,S,38766885.0,204613.0,35.4607489,-81.1392943,37109IS23IS23
668,37,109,TE27,37109TE27,P,TE27,Voting District TE27,V1,G5240,S,6701319.0,3761403.0,35.4785086,-80.97166209999999,37109TE27TE27
669,37,109,CF19,37109CF19,P,CF19,Voting District CF19,V1,G5240,S,7910115.0,6623276.0,35.453399600000004,-80.97081419999999,37109CF19CF19
670,37,191,23,3719123,P,23,Voting District 23,V1,G5240,S,15405627.0,0.0,35.3369558,-77.9419628,371912323
671,37,191,17,3719117,P,17,Voting District 17,V1,G5240,S,23859911.0,396791.0,35.352998,-77.99530379999999,371911717
672,37,191,26,3719126,P,26,Voting District 26,V1,G5240,S,47868328.0,207405.0,35.270224299999995,-78.048078,371912626
673,37,191,15,3719115,P,15,Voting District 15,V1,G5240,S,143024623.0,1201349.0,35.2482174,-77.8683767,371911515
674,37,191,27,3719127,P,27,Voting District 27,V1,G5240,S,13666916.0,317058.0,35.3094725,-78.02169649999999,371912727
675,37,191,11,3719111,P,11,Voting District 11,V1,G5240,S,11851721.0,0.0,35.4085723,-77.96507390000001,371911111
676,37,191,28,3719128,P,28,Voting District 28,V1,G5240,S,152694626.0,1154010.0,35.253389899999995,-77.9764561,371912828
677,37,191,08,3719108,P,08,Voting District 08,V1,G5240,S,72574528.0,3104230.0,35.379412,-78.1237573,371910808
678,37,191,03,3719103,P,03,Voting District 03,V1,G5240,S,61519280.0,22697.0,35.4626115,-78.0917799,371910303
679,37,191,09,3719109,P,09,Voting District 09,V1,G5240,S,45040944.0,457192.0,35.396029299999995,-78.039074,371910909
680,37,109,LW18,37109LW18,P,LW18,Voting District LW18,V1,G5240,S,27555453.0,39569.0,35.4376689,-81.0640436,37109LW18LW18
681,37,109,IS20,37109IS20,P,IS20,Voting District IS20,V1,G5240,S,32633521.0,118735.0,35.42529879999999,-81.1266826,37109IS20IS20
682,37,109,LW31,37109LW31,P,LW31,Voting District LW31,V1,G5240,S,30150141.0,271008.0,35.4256646,-80.99655340000001,37109LW31LW31
683,37,109,NB03,37109NB03,P,NB03,Voting District NB03,V1,G5240,S,39400547.0,84583.0,35.541591,-81.4635753,37109NB03NB03
684,37,109,WP32,37109WP32,P,WP32,Voting District WP32,V1,G5240,S,14980558.0,5031226.0,35.5065854,-80.9840887,37109WP32WP32
685,37,109,DV08,37109DV08,P,DV08,Voting District DV08,V1,G5240,S,90625504.0,212018.0,35.523641999999995,-81.3527411,37109DV08DV08
686,37,109,LM16,37109LM16,P,LM16,Voting District LM16,V1,G5240,S,15355214.0,140893.0,35.439713700000006,-81.27144940000001,37109LM16LM16
687,37,109,TR30,37109TR30,P,TR30,Voting District TR30,V1,G5240,S,12200285.0,18619.0,35.4660955,-81.0147485,37109TR30TR30
688,37,109,NB09,37109NB09,P,NB09,Voting District NB09,V1,G5240,S,95162632.0,299799.0,35.474487700000005,-81.4312983,37109NB09NB09
689,37,109,LN11,37109LN11,P,LN11,Voting District LN11,V1,G5240,S,3791276.0,44406.0,35.4796156,-81.25480290000002,37109LN11LN11
690,37,109,HV07,37109HV07,P,HV07,Voting District HV07,V1,G5240,S,60580811.0,222754.0,35.4607947,-81.34221020000001,37109HV07HV07
691,37,109,LS12,37109LS12,P,LS12,Voting District LS12,V1,G5240,S,4814635.0,78957.0,35.4639515,-81.2524421,37109LS12LS12
692,37,109,LI14,37109LI14,P,LI14,Voting District LI14,V1,G5240,S,9796207.0,13759.0,35.4585235,-81.2274566,37109LI14LI14
693,37,109,LS15,37109LS15,P,LS15,Voting District LS15,V1,G5240,S,14689456.0,254169.0,35.4297114,-81.2378993,37109LS15LS15
694,37,109,SL24,37109SL24,P,SL24,Voting District SL24,V1,G5240,S,22545960.0,110754.0,35.4381599,-81.2020272,37109SL24SL24
695,37,109,BC13,37109BC13,P,BC13,Voting District BC13,V1,G5240,S,8534560.0,10285.0,35.4895026,-81.22963370000001,37109BC13BC13
696,37,109,CR06,37109CR06,P,CR06,Voting District CR06,V1,G5240,S,18459500.0,96915.0,35.432050399999994,-81.3070801,37109CR06CR06
697,37,191,10,3719110,P,10,Voting District 10,V1,G5240,S,10521998.0,39043.0,35.406661799999995,-78.0012079,371911010
698,37,191,14,3719114,P,14,Voting District 14,V1,G5240,S,46972594.0,825155.0,35.342512799999994,-77.8804324,371911414
699,37,191,04,3719104,P,04,Voting District 04,V1,G5240,S,59531823.0,157604.0,35.4903564,-78.0171165,371910404
700,37,191,02,3719102,P,02,Voting District 02,V1,G5240,S,164049235.0,192816.0,35.523877500000005,-77.8943121,371910202
701,37,191,19,3719119,P,19,Voting District 19,V1,G5240,S,5474928.0,0.0,35.361626,-77.9832813,371911919
702,37,191,01,3719101,P,01,Voting District 01,V1,G5240,S,94977229.0,203621.0,35.550067,-78.01416529999999,371910101
703,37,191,07,3719107,P,07,Voting District 07,V1,G5240,S,69746416.0,645157.0,35.4312921,-77.8452,371910707
704,37,191,16,3719116,P,16,Voting District 16,V1,G5240,S,40127312.0,579842.0,35.3189757,-78.0896905,371911616
705,37,191,05,3719105,P,05,Voting District 05,V1,G5240,S,20420209.0,24210.0,35.444197700000004,-77.99984,371910505
706,37,191,24,3719124,P,24,Voting District 24,V1,G5240,S,200648275.0,128191.0,35.2750367,-78.1982835,371912424
707,37,191,06,3719106,P,06,Voting District 06,V1,G5240,S,31746570.0,62973.0,35.439832,-77.919061,371910606
708,37,191,22,3719122,P,22,Voting District 22,V1,G5240,S,6307456.0,0.0,35.375327,-77.94754520000001,371912222
709,37,191,25,3719125,P,25,Voting District 25,V1,G5240,S,55036350.0,29360.0,35.2208624,-78.0943618,371912525
710,37,191,21,3719121,P,21,Voting District 21,V1,G5240,S,3414311.0,0.0,35.370400200000006,-77.9684589,371912121
711,37,191,20,3719120,P,20,Voting District 20,V1,G5240,S,1628232.0,0.0,35.37035039999999,-77.98278590000001,371912020
712,37,191,18,3719118,P,18,Voting District 18,V1,G5240,S,2407313.0,0.0,35.3793593,-77.9937958,371911818
713,37,191,12,3719112,P,12,Voting District 12,V1,G5240,S,8238200.0,0.0,35.3916568,-77.9308156,371911212
714,37,109,BS26,37109BS26,P,BS26,Voting District BS26,V1,G5240,S,19133365.0,47713.0,35.52939779999999,-81.18752409999999,37109BS26BS26
715,37,109,AS25,37109AS25,P,AS25,Voting District AS25,V1,G5240,S,10270723.0,12195.0,35.4902903,-81.1920141,37109AS25AS25
716,37,139,1-B,371391-B,P,1-B,Voting District 1-B,V1,G5240,S,3830168.0,967554.0,36.272649799999996,-76.19313819999999,371391-B1-B
717,37,139,SAL,37139SAL,P,SAL,Voting District SAL,V1,G5240,S,108861064.0,135066840.0,36.158116299999996,-76.13114279999999,37139SALSAL
718,37,191,13,3719113,P,13,Voting District 13,V1,G5240,S,14325140.0,121498.0,35.373476600000004,-77.89666629999999,371911313
719,37,191,29,3719129,P,29,Voting District 29,V1,G5240,S,2738235.0,0.0,35.3863773,-77.9758348,371912929
720,37,191,30,3719130,P,30,Voting District 30,V1,G5240,S,6553071.0,0.0,35.188211700000004,-78.073132,371913030
721,37,139,4-B,371394-B,P,4-B,Voting District 4-B,V1,G5240,S,2727329.0,0.0,36.279489399999996,-76.2071335,371394-B4-B
722,37,139,2-A,371392-A,P,2-A,Voting District 2-A,V1,G5240,S,5441321.0,109147.0,36.3191532,-76.221875,371392-A2-A
723,37,139,NIX,37139NIX,P,NIX,Voting District NIX,V1,G5240,S,88211833.0,23603609.0,36.229868200000006,-76.1997592,37139NIXNIX
724,37,139,MH,37139MH,P,MH,Voting District MH,V1,G5240,S,86186060.0,110276.0,36.2726891,-76.30875290000002,37139MHMH
