VR Total,VR: All Dems,VR: All Reps,VR: All Libs,VR:All Unaf.,VR:White Dems,VR: Black Dems,VR: NA Dems,VR: Asian Dems,VR: Other Dems,VR: Mult Race Ds,VR: UnDes Ds,VR: White Reps,VR: Black Reps,VR: NA Reps,VR: Asian Reps,VR: Other Reps,VR: Mult Race Rs,VR: UnDes Rs,VR: White Libs,VR: Black Libs,VR: NA Libs,VR: Asian Libs,VR: Other Libs,VR: Mult Race Ls,VR: UnDes Ls,VR: White Unafil.,VR: Black Unafil.,VR: NA Unafil.,VR: Asian Unafil.,VR: Other Unafil.,VR: Mult Race Unafil.,VR: UnDes Unafil.,% D,Racial %s among D's White % of D,Racial %s among D's Black % of D,Racial %s among D's NA   % of D,Racial %s among D's Other % of D,Racial %s among D's % R,Racial %s among R's White %  of R,Racial %s among R's Black % of R,Racial %s among R's NA  %  of R,Racial %s among R's Other % of R,Racial %s among R's % U,Racial %s among U's White % of U,Racial %s among U's Black % of U,Racial %s among U's NA   % of U,Racial %s among U's Other % of U,Racial %s among U's % L,Racial %s among U's VR: White,Racial %s among U's VR: Black,Racial %s among U's VR:  NA,Racial %s among U's VR: Asian,Racial %s among U's VR: Other,Racial %s among U's VR: Mult. Race,Racial %s among U's VR: Undes.,Racial %s among U's % White,Racial %s among U's % Black,Racial %s among U's % NA,Racial %s among U's % Other,County,excelVTDId,excelCountyName,GEOID10
3703,1422,1223,5,1053,1355,18,2,1,17,8,21,1189,2,2,3,13,4,10,5,0,0,0,0,0,0,1014,4,0,1,13,2,19,0.384012962463,0.95288326301,0.0126582278481,0.0014064697609,0.0330520393812,0.330272751823,0.972199509403,0.00163532297629,0.00163532297629,0.0245298446443,0.284364029166,0.962962962963,0.00379867046534,0.0,0.0332383665717,0.00135025654874,3563,24,4,5,43,14,50,0.962192816635,0.00648123143397,0.001080205239,0.0302457466919,Buncombe,39.1,Buncombe,3702139.1
2690,1044,936,0,710,1002,12,1,1,14,4,10,910,0,2,0,12,1,11,0,0,0,0,0,0,0,667,4,2,1,13,1,22,0.388104089219,0.959770114943,0.0114942528736,0.00095785440613,0.0277777777778,0.347955390335,0.972222222222,0.0,0.00213675213675,0.025641025641,0.263940520446,0.939436619718,0.0056338028169,0.00281690140845,0.0521126760563,0.0,2579,16,5,2,39,6,43,0.95873605948,0.00594795539033,0.00185873605948,0.0334572490706,Buncombe,41.1,Buncombe,3702141.1
3665,1350,1330,2,983,1262,42,4,7,27,1,7,1285,0,4,2,25,1,13,2,0,0,0,0,0,0,919,7,2,11,19,2,23,0.368349249659,0.934814814815,0.0311111111111,0.00296296296296,0.0311111111111,0.362892223738,0.966165413534,0.0,0.00300751879699,0.0308270676692,0.268212824011,0.93489318413,0.00712105798576,0.00203458799593,0.0559511698881,0.000545702592087,3468,49,10,20,71,4,43,0.946248294679,0.0133697135061,0.00272851296044,0.037653478854,Buncombe,44.1,Buncombe,3702144.1
3669,1513,1191,5,960,1412,39,1,1,29,9,22,1168,2,2,1,10,0,8,5,0,0,0,0,0,0,910,7,2,6,14,6,15,0.412373943854,0.933245208196,0.0257766027759,0.000660938532716,0.0403172504957,0.324611610793,0.980688497061,0.0016792611251,0.0016792611251,0.0159529806885,0.261651676206,0.947916666667,0.00729166666667,0.00208333333333,0.0427083333333,0.00136276914691,3495,48,5,8,53,15,45,0.952575633688,0.0130825838103,0.00136276914691,0.0329790133551,Buncombe,45.1,Buncombe,3702145.1
1376,558,456,6,356,537,8,1,1,8,1,2,450,1,0,0,5,0,0,5,0,0,0,1,0,0,341,1,0,1,5,0,8,0.405523255814,0.962365591398,0.0143369175627,0.00179211469534,0.0215053763441,0.331395348837,0.986842105263,0.00219298245614,0.0,0.0109649122807,0.258720930233,0.957865168539,0.00280898876404,0.0,0.0393258426966,0.00436046511628,1333,10,1,2,19,1,10,0.96875,0.00726744186047,0.000726744186047,0.0232558139535,Buncombe,46.1,Buncombe,3702146.1
3916,1477,1357,5,1077,1420,12,2,6,17,3,17,1337,1,1,1,9,0,8,5,0,0,0,0,0,0,1024,6,3,1,18,1,24,0.377170582227,0.961408259986,0.00812457684496,0.00135409614083,0.0291130670278,0.346527068437,0.985261606485,0.000736919675755,0.000736919675755,0.0132645541636,0.275025536261,0.950789229341,0.00557103064067,0.00278551532033,0.0408542246982,0.00127681307457,3786,19,6,8,44,4,49,0.966802860061,0.00485188968335,0.00153217568948,0.0268130745659,Buncombe,47.1,Buncombe,3702147.1
3343,1315,1168,3,857,1233,46,3,1,17,6,9,1144,6,1,1,9,2,5,2,0,0,0,1,0,0,799,13,2,1,22,3,17,0.393359258151,0.937642585551,0.0349809885932,0.00228136882129,0.0250950570342,0.349386778343,0.979452054795,0.00513698630137,0.000856164383562,0.0145547945205,0.256356565959,0.932322053676,0.0151691948658,0.00233372228705,0.0501750291715,0.000897397547113,3178,65,6,3,49,11,31,0.950643134909,0.0194436135208,0.00179479509423,0.0281184564762,Buncombe,48.1,Buncombe,3702148.1
3770,1463,1330,4,973,1412,19,5,1,12,1,13,1290,4,4,3,14,1,14,4,0,0,0,0,0,0,923,6,3,1,19,4,17,0.388063660477,0.965140123035,0.012987012987,0.00341763499658,0.0184552289815,0.352785145889,0.96992481203,0.00300751879699,0.00300751879699,0.0240601503759,0.258090185676,0.948612538541,0.00616649537513,0.00308324768756,0.0421377183967,0.00106100795756,3629,29,12,5,45,6,44,0.962599469496,0.00769230769231,0.00318302387268,0.026525198939,Buncombe,49.1,Buncombe,3702149.1
1549,860,358,3,328,841,2,2,0,7,1,7,349,0,1,0,3,0,5,3,0,0,0,0,0,0,311,3,0,2,5,0,7,0.555196901227,0.977906976744,0.00232558139535,0.00232558139535,0.0174418604651,0.23111684958,0.974860335196,0.0,0.00279329608939,0.0223463687151,0.211749515817,0.948170731707,0.00914634146341,0.0,0.0426829268293,0.00193673337637,1504,5,3,2,15,1,19,0.970948999354,0.00322788896062,0.00193673337637,0.0238863783086,Buncombe,50.1,Buncombe,3702150.1
3332,1196,1212,6,918,1138,23,1,0,14,6,14,1175,3,0,1,11,2,20,5,1,0,0,0,0,0,860,5,5,1,19,4,24,0.358943577431,0.951505016722,0.0192307692308,0.000836120401338,0.0284280936455,0.363745498199,0.969471947195,0.00247524752475,0.0,0.0280528052805,0.275510204082,0.936819172113,0.00544662309368,0.00544662309368,0.0522875816993,0.00180072028812,3178,32,6,2,44,12,58,0.953781512605,0.00960384153661,0.00180072028812,0.0348139255702,Buncombe,52.1,Buncombe,3702152.1
