,low,high,length
393,3715933,3715917,1755.65218212
394,3715933,3715905,13776.2321229
395,3715933,3715906,2719.61846988
396,3715933,3702505-00,9530.07857045
397,3715933,3702504-03,0.0
398,3715917,3715902,11836.7731479
399,3715917,3702505-00,0.0
400,3715917,3702504-05,0.0
401,3715917,3702504-04,3381.24482207
402,3715917,3702504-03,14086.0641657
403,3715921,3715904,0.0
404,3715921,3715929,4102.48792782
405,3715921,3715934,6914.71452935
406,3715921,3715908,20633.5512544
407,3715921,3715942,6857.97688351
408,3715921,3715912,27523.6267026
409,3715921,3715935,6809.1024215
410,3715902,3715919,15115.7135814
411,3715924,3715904,33247.3632506
412,3715924,3715929,14754.9910548
413,3715924,37097CH-B,5537.21647774
414,3715930,3715934,38891.09807
415,3715930,3715908,13173.8002501
416,3715930,3715905,7153.84531648
417,3715930,3715936,7297.57150827
418,3715904,3715929,26300.6184197
419,3715904,3715908,2819.49427694
420,3715904,3715919,5048.04075269
421,3715904,3715905,12053.6026381
422,3715929,3715908,0.0
423,3715929,3715912,0.0
424,3715934,3715908,2905.80690409
425,3715934,3715936,6200.37658197
426,3715934,3715935,13578.824032
427,3715908,3715905,10611.0798707
428,3715931,3715915,41083.1434239
429,3715931,3715918,10587.3285322
430,3715931,3715928,12440.2435335
431,3715931,3705710,13461.4924976
432,3715931,3705758,5782.15852536
433,3715931,3705706,21760.8016645
434,3715915,3715923,24744.4196517
435,3715915,3715918,11619.8236174
436,3715915,3715926,16806.2877169
437,3715915,3715938,8472.65789257
438,3715915,3705758,7024.05432164
439,3715923,3715926,10170.792678
440,3715923,3715922,51463.9700262
441,3715923,3705758,12407.3536111
442,3715923,3705718,3396.57918482
443,3715919,3715905,3528.2930347
444,3715919,3715906,10752.8420919
445,3715905,3715906,19487.2161693
446,3715936,3715938,8672.9769756
447,3715936,3715935,4105.16042813
448,3715936,3715940,0.0
449,3715918,3715938,6881.26072871
450,3715918,3715928,14847.7487482
451,3715922,37123ELD,0.0
452,3715922,371670017,1388.90107197
453,3715922,371670018,39709.9220929
454,3715922,3705718,12763.5347298
455,3715922,3705756,14836.4265583
456,3715922,3702507-00,6970.41526803
457,3715901,3702506-00,17825.4074079
458,3715938,3715928,565.815901658
459,3715938,3715935,0.0
460,3715938,3715940,7741.28502559
461,3715942,3715939,5716.90424549
462,3715942,3715935,9869.47010778
463,3715942,3715940,1621.67397563
464,3715939,3715940,5585.20276628
465,3715928,3715940,3712.20623372
466,3715928,3705706,11533.070155
467,3715935,3715940,2309.197846
468,37101PR26,37101PR24,7888.99386046
469,37101PR26,37101PR22,17138.0363661
470,37101PR26,37101PR27,15499.8925584
471,37101PR26,37101PR28,14479.3218943
472,37101PR26,37101PR08,15047.8101871
473,37101PR26,37101PR15,51748.4362612
474,37101PR24,37101PR22,24921.1140714
475,37101PR24,37101PR21,704.314679548
476,37101PR24,37101PR25,25581.7203987
477,37101PR24,37101PR27,17932.5772862
478,37101PR24,37101PR19,24118.9205447
479,37101PR24,37101PR30,8424.54560232
480,37101PR20,37101PR21,51984.6015001
481,37101PR20,37101PR32,19606.1942734
482,37101PR20,371270005,40488.4627604
483,37101PR20,3706913,0.0
484,37101PR20,37195PROL,14568.8283556
485,37101PR20,37195PRSP,1221.84003791
486,37101PR20,3718310-03,0.0
487,37101PR20,3718309-03,172.069050915
488,37101PR20,3718309-02,25564.6537741
489,37101PR09,37101PR27,11623.635524
490,37101PR09,37101PR10,16179.8933183
491,37101PR09,37101PR30,14011.0382012
492,37101PR09,37101PR29A,0.0
493,37101PR09,37101PR29B,14727.5779137
494,37101PR09,37101PR34,11647.5977233
495,37101PR01,37101PR14,14982.1976934
496,37101PR01,37101PR16,5581.31057964
497,37101PR01,37101PR02,22859.5499928
498,37101PR01,37101PR18,0.0
499,37101PR01,37101PR03,17067.1854294
500,37101PR01,37101PR17,4319.58961172
501,37101PR22,37101PR19,20054.7028341
502,37101PR22,37101PR08,6088.73527339
503,37101PR22,37101PR07,20583.7267441
504,37101PR21,37101PR25,20287.9775579
505,37101PR21,37101PR19,11855.3457872
506,37101PR21,37101PR05,26997.7269084
507,37101PR21,37101PR32,5540.04523335
508,37101PR21,37101PR29B,0.0
509,37101PR21,37195PRSP,4410.10903138
510,37101PR25,37101PR30,19273.7320786
511,37101PR25,37101PR32,0.0
512,37101PR25,37101PR29B,8694.4245461
513,37101PR27,37101PR28,39573.0042677
514,37101PR27,37101PR12,930.116368817
515,37101PR27,37101PR30,41508.8782102
516,37101PR27,37101PR34,7373.53153832
517,37101PR28,37101PR12,2883.85139245
518,37101PR28,37101PR13,9565.14399811
519,37101PR28,37101PR14,0.0
