GEOID10,g2012_USH_dv,g2012_USH_rv,g2012_USH_tv,STATEFP10,COUNTYFP10,VTDST10,VTDI10,NAME10,NAMELSAD10,LSAD10,MTFCC10,FUNCSTAT10,ALAND,AWATER,INTPTLAT10,INTPTLON10,VTD,ID,population,aframcon,hispcon,mincon,percentDem,percentRep,percentOther,DemPercentWhite,DemPercentBlack,DemPercentAsian,DemPercentOther,RepPercentWhite,RepPercentBlack,RepPercentAsian,RepPercentOther,repPop,demPop,hispPop,aframPop,numAdjacent,totalBorder
3716134,259,654,913,37,161,34,P,34,Voting District 34,V1,G5240,S,55816774.0,14999.0,35.3060518,-81.9788997,371613434,2107,1824,0.015899122807,0.00712719298246,0.0230263157895,0.322876817138,0.423871461362,0.2532517215,0.973933649289,0.0189573459716,0.0,0.00710900473934,0.992779783394,0.0,0.0,0.0072202166065,773.141545524,588.927314461,13.0,29.0,6,89154.8389448
3716109A,648,1475,2123,37,161,09A,P,09A,Voting District 09A,V1,G5240,S,119136023.0,167832.0,35.2314014,-81.9068768,3716109A09A,2108,5133,0.0331190337035,0.024741866355,0.0578609000585,0.412541254125,0.358745874587,0.228712871287,0.9296,0.0576,0.0,0.0128,0.991720331187,0.000919963201472,0.0,0.00735970561178,1841.44257426,2117.57425743,127.0,170.0,7,85388.2789105
3716118,493,844,1337,37,161,18,P,18,Voting District 18,V1,G5240,S,115324253.0,69466.0,35.3943392,-82.0578624,371611818,2109,2852,0.0806451612903,0.0175315568022,0.0981767180925,0.373626373626,0.384115884116,0.242257742258,0.803475935829,0.183155080214,0.00133689839572,0.0120320855615,0.968790637191,0.0143042912874,0.0,0.0169050715215,1095.4985015,1065.58241758,49.9999999999,230.0,6,145726.677861
3716105A,570,1025,1595,37,161,05A,P,05A,Voting District 05A,V1,G5240,S,59630238.0,112658.0,35.2118881,-81.7693043,3716105A05A,2110,5175,0.0751690821256,0.0521739130435,0.127342995169,0.473033707865,0.298501872659,0.228464419476,0.855106888361,0.125098970705,0.0,0.0197941409343,0.97365119197,0.00878293601004,0.00125470514429,0.0163111668758,1544.74719101,2447.9494382,270.0,389.0,6,108980.769527
3716111,1040,2322,3362,37,161,11,P,11,Voting District 11,V1,G5240,S,136375997.0,106203.0,35.3510276,-81.7544187,371611111,2111,8681,0.0511461813155,0.0139384863495,0.065084667665,0.440387331047,0.324994956627,0.234617712326,0.901511681173,0.0865781035273,0.000458085203848,0.0114521300962,0.985723153321,0.00248292985723,0.00124146492862,0.0105524518932,2821.28121848,3823.00242082,121.0,444.0,8,117232.230322
3716129,486,740,1226,37,161,29,P,29,Voting District 29,V1,G5240,S,21100302.0,23827.0,35.294136,-81.8522231,371612929,2112,3184,0.131595477387,0.0587311557789,0.190326633166,0.5088,0.2912,0.2,0.769392033543,0.206498951782,0.00104821802935,0.0230607966457,0.978021978022,0.010989010989,0.0,0.010989010989,927.1808,1620.0192,187.0,419.0,6,66340.3321179
37119001,584,578,1186,37,119,001,P,001,Voting District 001,V1,G5240,S,1648485.0,0.0,35.2029791,-80.8241809,37119001001,2113,1950,0.0430769230769,0.0189743589744,0.0620512820513,0.301701570681,0.407722513089,0.29057591623,0.921908893709,0.0542299349241,0.0,0.0238611713666,0.979133226324,0.00321027287319,0.0016051364366,0.016051364366,795.058900524,588.318062827,37.0000000001,84.0,7,19373.1442687
37119002,1244,509,1818,37,119,002,P,002,Voting District 002,V1,G5240,S,2255286.0,0.0,35.2098251,-80.822235,37119002002,2114,3049,0.186290587078,0.022958346999,0.209248934077,0.448913043478,0.226811594203,0.324275362319,0.630347054076,0.305084745763,0.00484261501211,0.0597255851493,0.955271565495,0.017571884984,0.00479233226837,0.0223642172524,691.548550725,1368.73586957,70.0,568.000000001,7,22948.8903088
37119042,1909,53,1962,37,119,042,P,042,Voting District 042,V1,G5240,S,2503282.0,1126.0,35.2713664,-80.7859573,37119042042,2115,4950,0.734747474747,0.212929292929,0.947676767676,0.865455768584,0.0299360914901,0.104608139926,0.0260396424407,0.938593082005,0.000777302759425,0.0345899727944,0.348314606742,0.573033707865,0.0224719101124,0.0561797752809,148.183652876,4284.00605449,1054.0,3637.0,4,15075.7750014
37119043,1865,185,2050,37,119,043,P,043,Voting District 043,V1,G5240,S,2851467.0,12850.0,35.2433673,-80.7702385,37119043043,2116,5964,0.555667337357,0.302816901408,0.858484238765,0.714652956298,0.0967223650386,0.188624678663,0.160071942446,0.767535971223,0.00359712230216,0.0687949640288,0.727574750831,0.172757475083,0.0232558139535,0.0764119601329,576.85218509,4262.19023136,1806.0,3314.0,5,19454.6441723
37119044,799,328,1162,37,119,044,P,044,Voting District 044,V1,G5240,S,2569953.0,6882.0,35.227408,-80.7930404,37119044044,2117,2111,0.197063003316,0.0814779725249,0.278540975841,0.49726443769,0.227963525836,0.274772036474,0.651589242054,0.29706601467,0.00733496332518,0.0440097799511,0.936,0.0266666666667,0.00533333333333,0.032,481.23100304,1049.72522796,172.0,416.0,8,25128.1195316
37119091,1372,1916,3348,37,119,091,P,091,Voting District 091,V1,G5240,S,7614766.0,18149.0,35.0912855,-80.7652519,37119091091,2118,5864,0.0525238744884,0.0393929058663,0.0919167803547,0.241622574956,0.453262786596,0.305114638448,0.759124087591,0.166058394161,0.014598540146,0.0602189781022,0.962062256809,0.00437743190661,0.00875486381323,0.0248054474708,2657.9329806,1416.87477954,231.0,308.0,7,45828.9030155
37119092,1006,1200,2248,37,119,092,P,092,Voting District 092,V1,G5240,S,4415301.0,62442.0,35.1134716,-80.8516103,37119092092,2119,4247,0.101483400047,0.0784082882034,0.17989168825,0.27385620915,0.431045751634,0.295098039216,0.67661097852,0.245823389021,0.0119331742243,0.0656324582339,0.95526914329,0.00833965125095,0.00909780136467,0.027293404094,1830.65130719,1163.06732026,333.0,431.0,8,24585.680254
37119094,1037,342,1405,37,119,094,P,094,Voting District 094,V1,G5240,S,2257206.0,0.0,35.1845355,-80.7201046,37119094094,2120,3355,0.412220566319,0.181520119225,0.593740685544,0.551196172249,0.208612440191,0.24019138756,0.302951388889,0.625,0.00434027777778,0.0677083333333,0.871559633028,0.0573394495413,0.0114678899083,0.0596330275229,699.894736842,1849.26315789,609.0,1383.0,7,20253.6412561
37119095,1069,260,1331,37,119,095,P,095,Voting District 095,V1,G5240,S,2108358.0,92852.0,35.2114472,-80.7174495,37119095095,2121,3466,0.514425851125,0.204558568956,0.718984420081,0.625531914894,0.161229314421,0.213238770686,0.167044595616,0.740740740741,0.00680272108844,0.0854119425548,0.847507331378,0.0791788856305,0.0175953079179,0.0557184750733,558.820803783,2168.09361702,709.000000001,1783.0,5,18111.3781566
37119096,722,662,1418,37,119,096,P,096,Voting District 096,V1,G5240,S,2394577.0,1772.0,35.1341864,-80.7482577,37119096096,2122,2454,0.0749796251019,0.0631621841891,0.138141809291,0.329038652131,0.37314172448,0.297819623389,0.757530120482,0.185240963855,0.00602409638554,0.0512048192771,0.956175298805,0.00929614873838,0.00265604249668,0.0318725099602,915.689791873,807.460852329,155.0,184.0,4,21307.9957894
37119226,1168,1256,2496,37,119,226,P,226,Voting District 226,V1,G5240,S,4928133.0,24434.0,35.0752708,-80.8291228,37119226226,2123,5273,0.134079271762,0.0762374359947,0.210316707757,0.29958463136,0.393042575286,0.307372793354,0.631715771231,0.272963604853,0.00953206239168,0.0857885615251,0.935931307794,0.0118890356671,0.0112285336856,0.0409511228534,2072.51349948,1579.70976116,402.0,707.000000001,8,37703.6708676
3717716,9,14,23,37,177,16,P,16,Voting District 16,V1,G5240,S,101980068.0,504129.0,35.7682822,-76.365503,371771616,2124,50,0.22,0.04,0.26,0.51724137931,0.206896551724,0.275862068966,0.733333333333,0.266666666667,0.0,0.0,1.0,0.0,0.0,0.0,10.3448275862,25.8620689655,2.0,11.0,5,79250.5873655
