,lo,hi,length
414,42003B390,42003B470,1680.43607076
415,42003B390,42003D950,2540.6574991
416,42003B390,42003D970,906.087481003
417,42003B390,42003B530,2600.44288143
418,42003B390,42003B540,0.0
419,42003C750,42003C770,3131.99384976
420,42003C750,42003C810,595.546582057
421,42003C750,42003C830,1822.24678105
422,42003C750,42003C860,1334.95165964
423,42003C750,42003C990,2969.05314106
424,42003C750,42003D010,2168.25079653
425,42003C750,42003C720,2988.23430032
426,42003C750,42003C740,1518.77057135
427,42003C770,42003C810,2648.87674241
428,42003C770,42003C860,87.7739428431
429,42003C770,42003E675,2485.72653076
430,42003C770,42003E685,964.091921861
431,42003C790,42003C810,1858.53273603
432,42003C790,42003C830,517.542942805
433,42003C790,42003E290,915.153422179
434,42003C790,42003E655,3518.05957358
435,42003C790,42003C620,1470.67540873
436,42003C790,42003C740,906.260385748
437,42003C810,42003C830,2862.99712735
438,42003C810,42003E655,255.533765336
439,42003C810,42003E665,2642.92010785
440,42003C810,42003E675,81.8850547167
441,42003C830,42003C740,3876.91592448
442,42003C840,42003E290,1620.53613234
443,42003C840,42003E260,815.977026453
444,42003C840,42003E270,2878.78614194
445,42003C840,42003C240,363.268371318
446,42003C840,42003C260,512.487932265
447,42003C840,42003C280,518.360965099
448,42003C840,42003C700,3509.35486123
449,42003E815,42003E891,3363.895919
450,42003E815,42003E970,0.0
451,42003E815,42003E980,7782.101624
452,42003E815,420034350,1402.959339
453,42003E815,420034400,47.2402818006
454,42003E815,42003E810,8348.02644317
455,42003E841,42003E850,7178.05693546
456,42003E841,42003G081,153.729993276
457,42003E841,42003E980,2031.57620675
458,42003E841,42003881,609.908960027
459,42003E841,420031320,2537.43607833
460,42003E850,42003E870,3294.2159947
461,42003E850,42003E880,421.943710342
462,42003E850,42003G081,3419.4335315
463,42003E850,42003E980,2518.54306293
464,42003E870,42003E880,3711.79092981
465,42003E870,42003E980,1776.32945629
466,42003E870,420034470,901.662635323
467,42003E870,420034490,1994.50967969
468,42003E880,42003G081,3561.74915297
469,42003E880,42003G110,3350.08190959
470,42003E880,420034470,2073.42361497
471,42003G041,42003G060,2285.3032252
472,42003G041,420034170,1275.96455196
473,42003G041,420031901,305.97239767
474,42003G041,42003G860,4080.09204327
475,42003G041,42003G920,1085.30697529
476,42003G041,42003G011,6690.07262393
477,42003G060,420034170,4017.57730497
478,42003G060,42003F981,2074.39359206
479,42003G060,42003G000,0.0
480,42003G060,42003G011,552.294106892
481,42003G060,42003G030,1572.91803054
482,42003G070,42003G080,13690.9756692
483,42003G070,42003G082,0.0
484,42003G070,42003G100,1595.93019964
485,42003G070,42003G140,5839.00238835
486,42003G070,42003G150,1696.70998375
487,42003G080,42003G082,4212.89714237
488,42003G080,42003G100,0.0
489,42003G080,42003G150,5029.85293756
490,42003G080,42003891,5823.49781739
491,42003G080,42003901,2384.75185805
492,42003G080,42003PR1320,1514.10612612
493,42003G081,42003G082,19044.6488021
494,42003G081,42003G110,9062.26815185
495,42003G081,42003G111,4094.97438455
496,42003G081,42003881,1254.41825218
497,42003G081,42003891,0.0
498,42003H051,42003H021,1146.57055106
499,42003H051,420031110,424.839697494
500,42003H051,420031120,3141.34589901
501,42003H051,42003G970,891.7647651
502,42003H051,42003G981,3955.13167895
503,42003H051,42003G991,7526.04561002
504,42003H011,42003H021,1838.78822521
505,42003H011,42003H031,570.477668972
506,42003H011,42003760,1279.02963109
507,42003H011,420031931,7722.97815709
508,42003H011,420032211,1215.51606653
509,42003H011,420032221,0.0
510,42003H011,42003G991,3927.78700025
511,42003H021,42003H031,1186.21059716
512,42003H021,42003H091,1443.99761509
513,42003H021,42003G940,1455.02844136
514,42003H021,42003G951,435.815298707
515,42003H021,42003G981,63.5187417564
516,42003H021,42003G991,1291.72587779
517,42003H031,42003H080,658.761392954
518,42003H031,42003H091,1466.57904397
519,42003H031,420031931,1142.08163221
520,42003H031,42003H111,1059.28626449
521,42003H031,42003H121,1079.75010399
522,42003H070,42003H080,1086.05712738
523,42003H070,42003H101,1410.52949166
524,42003H070,420039450,141.201400032
525,42003H070,420039470,211.210997454
526,42003H070,420031931,652.172801497
527,42003H070,420031941,1434.76986245
528,42003H070,42003F840,378.192463895
529,42003H080,42003H101,2444.99837644
530,42003H080,420031931,1451.87656935
531,42003H080,42003H111,961.316338952
532,42003H091,420038970,1415.05496646
533,42003H091,420039090,452.698751115
534,42003H091,42003H121,2692.30060929
535,42003H091,42003G951,2451.09050753
536,42003H101,420039390,235.560250385
537,42003H101,420039450,312.18890997
538,42003H101,42003H111,4480.16912208
539,42003501,42003511,1372.35690417
540,42003501,42003522,6033.8199962
541,42003501,42003530,3186.62319342
542,42003501,42003F470,1232.14376508
543,42003501,42003201,281.758039179
544,42003501,42003221,3247.76425398
545,42003501,42003281,1154.34249709
546,42003501,42003G852,697.822677701
547,42003511,42003522,9525.473796
548,42003511,42003530,4601.42846326
549,42003511,42003540,577.683623029
550,42003511,42003603,1965.98381566
551,42003522,42003603,688.598893544
552,42003522,42003F470,645.868267212
