VTD,B02001e1,B02008e1,B02009e1,B02010e1,B02011e1,B02012e1,B02013e1,B03002e1,B03003e1,B17017e1,B17021e1,B19301e1,C17002e1,VTD.1,ID
421012002PHILADELPHIA WD 20 PCT 02,570.799482536,0.0,407.161707633,0.0,0.0,0.0,163.637774903,570.799482536,570.799482536,167.503234153,570.799482536,5299.54463131,570.799482536,421012002PHILADELPHIA WD 20 PCT 02,6530
421012003PHILADELPHIA WD 20 PCT 03,1377.01445928,465.623497997,857.28682243,0.0,54.9238985314,0.0,40.9879839786,1377.01445928,1377.01445928,414.038771696,886.798170895,23952.4946195,886.798170895,421012003PHILADELPHIA WD 20 PCT 03,6531
421012004PHILADELPHIA WD 20 PCT 04,621.897146678,74.0674157303,443.804584502,4.31460674157,0.0,0.0,99.7105397038,621.897146678,621.897146678,245.305754611,621.897146678,6612.56772824,621.897146678,421012004PHILADELPHIA WD 20 PCT 04,6532
421012005PHILADELPHIA WD 20 PCT 05,391.784597728,114.20468809,269.607468693,2.49803149606,7.33464566929,0.0,3.40157480315,391.784597728,391.784597728,107.539457245,278.097589854,5180.24008484,278.097589854,421012005PHILADELPHIA WD 20 PCT 05,6533
421012006PHILADELPHIA WD 20 PCT 06,535.313748882,111.391286154,410.363680231,0.525133057363,12.0761014686,0.0,10.1498043123,535.313748882,535.313748882,198.559690753,427.530037266,15253.1440558,427.530037266,421012006PHILADELPHIA WD 20 PCT 06,6534
421012007PHILADELPHIA WD 20 PCT 07,2195.17795276,1281.66141732,799.422047244,35.7496062992,104.966929134,0.0,48.6803149606,2195.17795276,2195.17795276,191.678740157,568.190551181,4478.58897638,568.190551181,421012007PHILADELPHIA WD 20 PCT 07,6535
421012008PHILADELPHIA WD 20 PCT 08,271.278887583,64.4144144144,172.365844105,0.0,4.71014492754,0.0,29.7884841363,271.278887583,271.278887583,107.696827262,271.278887583,1011.15354485,271.278887583,421012008PHILADELPHIA WD 20 PCT 08,6536
421012805PHILADELPHIA WD 28 PCT 05,567.047114366,11.0747663551,559.433212496,0.0,0.0,0.0,0.0,567.047114366,567.047114366,262.468259225,567.047114366,11735.032638,567.047114366,421012805PHILADELPHIA WD 28 PCT 05,6537
421012806PHILADELPHIA WD 28 PCT 06,530.747663551,17.691588785,518.584696262,0.0,0.0,0.0,0.0,530.747663551,530.747663551,231.096378505,530.747663551,5515.35280374,530.747663551,421012806PHILADELPHIA WD 28 PCT 06,6538
421012807PHILADELPHIA WD 28 PCT 07,457.329146367,7.01655448581,444.289911469,0.0,6.02268041237,0.0,0.0,457.329146367,457.329146367,175.043278056,457.329146367,4540.67263975,457.329146367,421012807PHILADELPHIA WD 28 PCT 07,6539
421012808PHILADELPHIA WD 28 PCT 08,698.160134041,16.6803813991,669.153227267,7.77939914163,15.6020618557,0.0,4.50386266094,698.160134041,698.160134041,286.486761095,692.018503139,8996.18216465,692.018503139,421012808PHILADELPHIA WD 28 PCT 08,6540
421012809PHILADELPHIA WD 28 PCT 09,1103.63581969,130.942813104,1047.93109428,74.0640222686,0.0,0.0,0.0,1103.63581969,1103.63581969,432.165704934,1103.63581969,8270.15650141,1103.63581969,421012809PHILADELPHIA WD 28 PCT 09,6541
421012810PHILADELPHIA WD 28 PCT 10,723.229924752,86.1934911127,686.601509912,48.8378566458,0.0,0.0,0.0,723.229924752,723.229924752,283.007383714,723.229924752,5406.49865536,723.229924752,421012810PHILADELPHIA WD 28 PCT 10,6542
421012811PHILADELPHIA WD 28 PCT 11,497.443110974,58.6701343872,481.593424126,22.0981210856,0.0,0.0,0.0,497.443110974,497.443110974,194.838462452,497.443110974,4151.05930116,497.443110974,421012811PHILADELPHIA WD 28 PCT 11,6543
421012812PHILADELPHIA WD 28 PCT 12,557.271419637,57.2288930582,557.271419637,0.0,0.0,0.0,0.0,557.271419637,557.271419637,222.421513446,557.271419637,5614.51969981,557.271419637,421012812PHILADELPHIA WD 28 PCT 12,6544
421012813PHILADELPHIA WD 28 PCT 13,613.943089431,63.0487804878,613.943089431,0.0,0.0,0.0,0.0,613.943089431,613.943089431,245.040650407,613.943089431,6185.48780488,613.943089431,421012813PHILADELPHIA WD 28 PCT 13,6545
421012814PHILADELPHIA WD 28 PCT 14,648.662659654,8.97520661157,639.687453043,0.0,0.0,0.0,0.0,648.662659654,648.662659654,236.619083396,648.662659654,5769.42599549,648.662659654,421012814PHILADELPHIA WD 28 PCT 14,6546
421012815PHILADELPHIA WD 28 PCT 15,587.878354072,9.83712269003,579.057540395,2.41373390558,0.0,0.0,1.3974248927,587.878354072,587.878354072,217.535068344,585.972774673,5629.79267581,585.972774673,421012815PHILADELPHIA WD 28 PCT 15,6547
421012816PHILADELPHIA WD 28 PCT 16,410.151724138,0.0,410.151724138,0.0,0.0,0.0,0.0,410.151724138,410.151724138,200.904827586,410.151724138,10460.2593103,410.151724138,421012816PHILADELPHIA WD 28 PCT 16,6548
421012817PHILADELPHIA WD 28 PCT 17,523.92374756,0.0,523.92374756,0.0,0.0,0.0,0.0,523.92374756,523.92374756,199.213770797,523.92374756,7511.64365461,523.92374756,421012817PHILADELPHIA WD 28 PCT 17,6549
421012818PHILADELPHIA WD 28 PCT 18,657.945353904,3.38099315068,654.564360753,0.0,0.0,0.0,0.0,657.945353904,657.945353904,249.632680323,657.945353904,5514.41928156,657.945353904,421012818PHILADELPHIA WD 28 PCT 18,6550
