GEOID,IDNUM
420034301MOON TWP DIST 09,399
420034330MOON TWP DIST 10,400
420034311MOON TWP DIST 11,401
420034331MOON TWP DIST 12,402
420034341MOON TWP DIST 13,403
420035450PENN HILLS TWP WD 02 DIST 01,404
420035460PENN HILLS TWP WD 02 DIST 02,405
420035470PENN HILLS TWP WD 02 DIST 03,406
420035480PENN HILLS TWP WD 02 DIST 04,407
420035490PENN HILLS TWP WD 03 DIST 01,408
420035500PENN HILLS TWP WD 03 DIST 02,409
420035510PENN HILLS TWP WD 03 DIST 03,410
420036540PITTSBURGH WD 05 DIST 06,411
420036560PITTSBURGH WD 05 DIST 07,412
420036580PITTSBURGH WD 05 DIST 08,413
420036600PITTSBURGH WD 05 DIST 09,414
420036620PITTSBURGH WD 05 DIST 10,415
420036640PITTSBURGH WD 05 DIST 11,416
420036660PITTSBURGH WD 05 DIST 12,417
420036680PITTSBURGH WD 05 DIST 13,418
420036700PITTSBURGH WD 05 DIST 14,419
420039450PITTSBURGH WD 14 DIST 18,420
420039470PITTSBURGH WD 14 DIST 19,421
420039490PITTSBURGH WD 14 DIST 20,422
420039510PITTSBURGH WD 14 DIST 21,423
420039530PITTSBURGH WD 14 DIST 22,424
420039550PITTSBURGH WD 14 DIST 23,425
420039570PITTSBURGH WD 14 DIST 24,426
420039590PITTSBURGH WD 14 DIST 25,427
42003D420PITTSBURGH WD 29 DIST 05,428
42003D440PITTSBURGH WD 29 DIST 06,429
42003D460PITTSBURGH WD 29 DIST 07,430
42003D480PITTSBURGH WD 29 DIST 08,431
42003D500PITTSBURGH WD 29 DIST 09,432
42003D520PITTSBURGH WD 29 DIST 10,433
42003D540PITTSBURGH WD 29 DIST 11,434
42003D640PITTSBURGH WD 30 DIST 04,435
42003D660PITTSBURGH WD 30 DIST 05,436
42003D690PITTSBURGH WD 31 DIST 01,437
42003D710PITTSBURGH WD 31 DIST 02,438
42003D730PITTSBURGH WD 31 DIST 03,439
42003D750PITTSBURGH WD 31 DIST 04,440
42003D770PITTSBURGH WD 31 DIST 05,441
42003D790PITTSBURGH WD 31 DIST 06,442
42003F102SHALER TWP WD 01 DIST 05,443
42003F110SHALER TWP WD 02 DIST 01,444
42003F120SHALER TWP WD 02 DIST 02,445
42003F130SHALER TWP WD 02 DIST 03,446
42003F140SHALER TWP WD 02 DIST 04,447
42003F141SHALER TWP WD 02 DIST 05,448
42003F142SHALER TWP WD 03 DIST 01,449
42003F160SHALER TWP WD 03 DIST 02,450
42003G240VERSAILLES DIST 01,451
42003G250VERSAILLES DIST 02,452
42003G260WALL,453
42003G271WEST DEER TWP DIST 01,454
42003G281WEST DEER TWP DIST 02,455
42003G291WEST DEER TWP DIST 03,456
42003G301WEST DEER TWP DIST 04,457
42003G311WEST DEER TWP DIST 05,458
42003G320WEST DEER TWP DIST 06,459
42003G323WEST DEER TWP DIST 07,460
42003G325WEST DEER TWP DIST 08,461
42003G330WEST ELIZABETH,462
42003750BRADDOCK HILLS DIST 01,463
42003760BRADDOCK HILLS DIST 02,464
42003711BRADDOCK WD 01,465
42003720BRADDOCK WD 02,466
42003721BRADDOCK WD 03,467
420031890EAST PITTSBURGH WD 02,468
420031901EAST PITTSBURGH WD 03,469
420031921EDGEWOOD DIST 01,470
420031931EDGEWOOD DIST 02,471
420031941EDGEWOOD DIST 03,472
420031960EDGEWORTH DIST 01,473
420033031JEFFERSON HILLS DIST 04,474
