,GEOID10,ALAND10,AWATER10,POP100,POPMALE,POPFEMALE,POP1RACE,POPWHITE,POPBLACK,POPAMERIND,POPASIAN,POPPACIFIC,POPOTHER,POPMULTRAC,POPHISP,PERIM
0,330039556003008,1312645.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17045.9403927
0,330039556003166,0.0,12784.0,0,0,0,0,0,0,0,0,0,0,0,0,3638.42855534
0,330039556003096,0.0,258022.0,0,0,0,0,0,0,0,0,0,0,0,0,11241.33148
0,330039556003107,98069.0,0.0,16,7,9,16,16,0,0,0,0,0,0,0,5350.9450221
0,330039556003079,639816.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17272.807035
0,330039551003046,20985.0,0.0,4,3,1,4,4,0,0,0,0,0,0,0,1652.18906364
0,330039551001082,3637.0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,765.353778895
0,330039551003065,63188.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4936.88049115
0,330039551003089,0.0,6674.0,0,0,0,0,0,0,0,0,0,0,0,0,1854.72217241
0,330039551001219,0.0,10075.0,0,0,0,0,0,0,0,0,0,0,0,0,5470.70165467
0,330039551001083,252123.0,0.0,2,2,0,2,2,0,0,0,0,0,0,0,24821.0952394
0,330039551002029,73176.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5871.14931
0,330039551002016,38175.0,0.0,9,6,3,9,9,0,0,0,0,0,0,0,2345.80836982
0,330039551001070,341757.0,0.0,33,17,16,33,33,0,0,0,0,0,0,0,6739.69934102
0,330039551002118,38487.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3987.14712988
0,330039551002008,63740.0,0.0,3,1,2,3,2,0,0,1,0,0,0,0,5247.37324576
0,330039551001065,30776.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2288.62910949
0,330039551001136,756.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,334.898963451
0,330039551003053,1242.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,450.221106528
