,lo,hi,length
365,33009LAND01,33009BENT01,2433122.01388
366,33009EASN01,33009LINC01,1852651.09157
367,33009EASN01,33009BENT01,1397947.4089
368,33009EASN01,33009WOOD01,605390.224074
369,33009LINC01,33009LIVE01,7930084.06332
370,33009LINC01,33009WOOD01,5738767.70652
371,33009LINC01,33009THOR01,372455.003013
372,33009LIVE01,33009THOR01,1056393.70908
373,33009LIVE01,33009WATE01,4730882.55485
374,33009HAVE01,33009BENT01,2509289.71127
375,33009HAVE01,33009PIER01,3138459.72102
376,33009HAVE01,33009WARR01,0.0
377,33009BENT01,33009WOOD01,1721915.96868
378,33009BENT01,33009PIER01,0.0
379,33009BENT01,33009WARR01,2930308.40071
380,33009WOOD01,33009THOR01,5423687.47432
381,33009WOOD01,33009WARR01,1311605.25444
382,33009WOOD01,33009ELLS01,1488007.67324
383,33009THOR01,33009WATE01,1601057.18893
384,33009THOR01,33009ELLS01,892941.089118
385,33009THOR01,33009CAMP01,7402946.91405
386,33009PIER01,33009WARR01,1634061.20325
387,33009PIER01,33009ORFO01,2810429.62726
388,33009PIER01,33009WENT01,548972.292399
389,33009WARR01,33009ELLS01,1336018.35462
390,33009WARR01,33009WENT01,2934349.85067
391,33009WARR01,33009RUMN01,0.0
392,33009ELLS01,33009WENT01,0.0
393,33009ELLS01,33009RUMN01,4462686.78217
394,33009ELLS01,33009CAMP01,481880.622285
395,33009ORFO01,33009WENT01,2202668.95009
396,33009ORFO01,33009LYME01,6082785.61619
397,33009ORFO01,33009DORC01,0.0
398,33009WENT01,33009RUMN01,2320594.88041
399,33009WENT01,33009LYME01,0.0
400,33009WENT01,33009DORC01,2598296.59087
401,33009WENT01,33009GROT01,0.0
402,33009RUMN01,33009CAMP01,1113970.66965
403,33009RUMN01,33009DORC01,0.0
404,33009RUMN01,33009GROT01,5612455.40745
405,33009RUMN01,33009PLYM01,994393.594014
406,33009CAMP01,33009PLYM01,1971717.61054
407,33009CAMP01,33009HOLD01,2636471.95817
408,33009LYME01,33009DORC01,2157365.08157
409,33009LYME01,33009CANA01,375512.874746
410,33009LYME01,33009HANO01,2776837.74604
411,33009DORC01,33009GROT01,2010474.84267
412,33009DORC01,33009ORAN01,0.0
413,33009DORC01,33009CANA01,5428569.89589
414,33009GROT01,33009HEBR01,1764561.33371
415,33009GROT01,33009PLYM01,1168440.51765
416,33009GROT01,33009ALEX01,854452.535574
417,33009GROT01,33009ORAN01,1002491.28425
418,33009GROT01,33009CANA01,0.0
419,33009HEBR01,33009PLYM01,2516761.01345
420,33009HEBR01,33009BRID01,568399.878177
421,33009HEBR01,33009BRIS01,740786.492504
422,33009HEBR01,33009ALEX01,1679301.20035
423,33009PLYM01,33009HOLD01,1265320.28853
